Importance,Level,Code,Occupation
85,79,51-9071.01,Jewelers
81,68,29-1021.00,"Dentists, General"
78,73,29-1022.00,Oral and Maxillofacial Surgeons
78,70,49-9064.00,Watch Repairers
78,61,51-6051.00,"Sewers, Hand"
75,68,29-1067.00,Surgeons
75,61,49-9063.00,Musical Instrument Repairers and Tuners
75,59,49-3011.00,Aircraft Mechanics and Service Technicians
75,59,29-1023.00,Orthodontists
75,59,29-2099.07,Surgical Assistants
75,57,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
75,57,49-9044.00,Millwrights
75,57,51-6093.00,Upholsterers
75,Not available,51-2093.00,Timing Device Assemblers and Adjusters
72,59,17-3024.01,Robotics Technicians
72,57,51-9081.00,Dental Laboratory Technicians
72,57,49-9062.00,Medical Equipment Repairers
72,55,51-7011.00,Cabinetmakers and Bench Carpenters
72,55,27-1012.00,Craft Artists
72,55,29-2011.02,Cytotechnologists
72,55,17-3024.00,Electro-Mechanical Technicians
72,55,49-3041.00,Farm Equipment Mechanics and Service Technicians
72,54,49-3023.01,Automotive Master Mechanics
72,54,49-3023.02,Automotive Specialty Technicians
72,54,49-3091.00,Bicycle Repairers
72,54,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
72,54,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
72,54,49-9094.00,Locksmiths and Safe Repairers
72,54,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
72,52,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
72,52,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
72,50,49-9095.00,Manufactured Building and Mobile Home Installers
72,50,51-9195.05,"Potters, Manufacturing"
72,50,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
72,48,47-2011.00,Boilermakers
72,45,53-7071.00,Gas Compressor and Gas Pumping Station Operators
69,61,29-1069.06,Ophthalmologists
69,59,29-2011.03,Histotechnologists and Histologic Technicians
69,59,29-1024.00,Prosthodontists
69,55,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
69,55,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
69,55,49-2021.01,Radio Mechanics
69,54,51-2022.00,Electrical and Electronic Equipment Assemblers
69,54,49-9031.00,Home Appliance Repairers
69,54,49-9041.00,Industrial Machinery Mechanics
69,54,49-3052.00,Motorcycle Mechanics
69,54,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
69,52,51-9022.00,"Grinding and Polishing Workers, Hand"
69,52,51-7031.00,"Model Makers, Wood"
69,52,49-9097.00,Signal and Track Switch Repairers
69,50,49-9092.00,Commercial Divers
69,50,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
69,43,43-9021.00,Data Entry Keyers
66,63,51-9071.06,Gem and Diamond Workers
66,55,49-9061.00,Camera and Photographic Equipment Repairers
66,55,29-2021.00,Dental Hygienists
66,55,47-2221.00,Structural Iron and Steel Workers
66,54,49-2091.00,Avionics Technicians
66,54,51-2023.00,Electromechanical Equipment Assemblers
66,54,51-9083.00,Ophthalmic Laboratory Technicians
66,54,49-3043.00,Rail Car Repairers
66,52,49-9093.00,"Fabric Menders, Except Garment"
66,52,51-9082.00,Medical Appliance Technicians
66,52,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
66,50,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
66,50,49-3051.00,Motorboat Mechanics and Service Technicians
66,48,49-9021.01,Heating and Air Conditioning Mechanics and Installers
66,48,39-5091.00,"Makeup Artists, Theatrical and Performance"
66,48,47-2152.02,Plumbers
66,48,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
66,46,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
66,46,51-4071.00,Foundry Mold and Coremakers
66,46,49-9021.02,Refrigeration Mechanics and Installers
66,45,29-2012.00,Medical and Clinical Laboratory Technicians
63,61,29-1041.00,Optometrists
63,57,17-3029.04,Electronics Engineering Technologists
63,57,51-9071.07,Precious Metal Workers
63,55,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
63,55,17-3029.08,Photonics Technicians
63,52,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
