Importance,Level,Code,Occupation
81,57,49-9044.00,Millwrights
78,91,29-1067.00,Surgeons
78,54,51-6051.00,"Sewers, Hand"
75,59,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
75,57,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
75,55,49-9063.00,Musical Instrument Repairers and Tuners
75,55,47-2221.00,Structural Iron and Steel Workers
75,55,51-6093.00,Upholsterers
75,54,49-3023.02,Automotive Specialty Technicians
75,54,49-3041.00,Farm Equipment Mechanics and Service Technicians
75,54,51-7032.00,"Patternmakers, Wood"
75,50,49-9095.00,Manufactured Building and Mobile Home Installers
75,46,47-5081.00,Helpers--Extraction Workers
72,75,29-1022.00,Oral and Maxillofacial Surgeons
72,66,29-1021.00,"Dentists, General"
72,59,49-3011.00,Aircraft Mechanics and Service Technicians
72,55,49-9041.00,Industrial Machinery Mechanics
72,55,49-3052.00,Motorcycle Mechanics
72,54,51-7011.00,Cabinetmakers and Bench Carpenters
72,54,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
72,54,49-3043.00,Rail Car Repairers
72,54,47-5061.00,"Roof Bolters, Mining"
72,54,37-3013.00,Tree Trimmers and Pruners
72,52,51-4071.00,Foundry Mold and Coremakers
72,50,51-9197.00,Tire Builders
72,50,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
72,48,47-2051.00,Cement Masons and Concrete Finishers
72,48,51-9022.00,"Grinding and Polishing Workers, Hand"
72,46,49-9011.00,Mechanical Door Repairers
72,45,53-7032.00,Excavating and Loading Machine and Dragline Operators
72,45,53-7071.00,Gas Compressor and Gas Pumping Station Operators
72,Not available,51-9071.01,Jewelers
69,55,17-3024.01,Robotics Technicians
69,54,49-3023.01,Automotive Master Mechanics
69,54,47-2061.00,Construction Laborers
69,54,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
69,54,33-2011.02,Forest Firefighters
69,54,47-3013.00,Helpers--Electricians
69,54,39-5091.00,"Makeup Artists, Theatrical and Performance"
69,54,33-2011.01,Municipal Firefighters
69,52,49-3091.00,Bicycle Repairers
69,52,47-5011.00,"Derrick Operators, Oil and Gas"
69,52,27-2042.02,"Musicians, Instrumental"
69,52,51-9195.05,"Potters, Manufacturing"
69,50,35-9021.00,Dishwashers
69,50,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
69,50,49-9093.00,"Fabric Menders, Except Garment"
69,50,47-2152.01,Pipe Fitters and Steamfitters
69,48,47-2011.00,Boilermakers
69,48,27-1012.00,Craft Artists
69,48,47-5021.00,"Earth Drillers, Except Oil and Gas"
69,48,45-3011.00,Fishers and Related Fishing Workers
69,48,49-9031.00,Home Appliance Repairers
69,48,49-3092.00,Recreational Vehicle Service Technicians
69,48,51-9199.01,Recycling and Reclamation Workers
69,48,47-5012.00,"Rotary Drill Operators, Oil and Gas"
69,48,49-9097.00,Signal and Track Switch Repairers
69,48,47-2053.00,Terrazzo Workers and Finishers
69,46,47-2021.00,Brickmasons and Blockmasons
69,46,49-9092.00,Commercial Divers
69,46,47-4031.00,Fence Erectors
69,46,51-4051.00,Metal-Refining Furnace Operators and Tenders
69,46,53-5022.00,Motorboat Operators
69,45,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
69,45,49-9071.00,"Maintenance and Repair Workers, General"
69,45,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
69,45,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
69,45,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
69,45,53-7121.00,"Tank Car, Truck, and Ship Loaders"
69,43,49-3051.00,Motorboat Mechanics and Service Technicians
69,43,53-4041.00,Subway and Streetcar Operators
69,41,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
66,54,51-7021.00,Furniture Finishers
66,52,17-3024.00,Electro-Mechanical Technicians
66,52,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
66,52,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
66,50,47-2161.00,Plasterers and Stucco Masons
66,48,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
66,48,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
66,48,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
66,48,49-9051.00,Electrical Power-Line Installers and Repairers
66,48,51-4041.00,Machinists
66,48,47-2171.00,Reinforcing Iron and Rebar Workers
66,48,47-2031.02,Rough Carpenters
66,46,51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
