annual_income,code,hourly_income,industry_code,total_emp,label,automation_probability,rank
147240,Nov-21,70.79,1235,240440,,0.014,61
140320,Nov-22,67.46,1235,379050,,0.013,59
53990,Nov-31,25.96,1235,50650,0,0.015,71
98750,Nov-32,,1235,263120,,0.0046,22
111210,Nov-33,53.47,1235,143430,,0.01,52
115590,Nov-99,55.57,1235,462840,,0.25,226
67540,13-1031,32.47,1235,287730,1,0.98,675
65510,13-1032,31.5,1235,15200,,0.98,685
52930,13-1074,25.45,1235,200,1,0.97,649
76960,13-1199,37,1235,1060580,,0.23,216
100990,13-2051,48.55,1235,306200,,0.23,217
121770,13-2052,58.54,1235,200260,,0.58,324
76880,13-2053,36.96,1235,96040,1,0.99,698
49820,13-2071,23.95,1235,35740,,0.04,126
76270,13-2072,36.67,1235,304950,1,0.98,686
60500,13-2081,29.09,1235,54550,1,0.93,586
46860,13-2082,22.53,1235,68090,,0.99,695
77580,13-2099,37.3,1235,128760,,0.33,245
93610,15-1121,45.01,1235,587970,,0.0065,32
89580,15-1131,43.07,1235,230470,,0.48,293
108080,15-1132,51.96,1235,903160,,0.042,130
114000,15-1133,54.81,1235,405330,,0.13,181
92030,15-1141,44.25,1235,110090,,0.03,110
87070,15-1142,41.86,1235,366250,,0.03,109
57950,15-1150,27.86,1235,812060,,0.65,359
88860,17-1011,42.72,1235,104360,,0.018,82
73160,17-1012,35.17,1235,18660,0,0.045,133
68340,17-1021,32.86,1235,11050,,0.88,515
66440,17-1022,31.94,1235,45310,1,0.38,262
101600,17-2071,48.85,1235,186490,0,0.1,172
107930,17-2072,51.89,1235,134110,,0.025,98
93630,17-2111,45.01,1235,26230,,0.028,103
91630,17-2112,44.05,1235,279550,,0.029,104
99410,17-2199,47.8,1235,142030,,0.014,63
56700,17-3011,27.26,1235,97610,,0.52,305
64400,17-3012,30.96,1235,24900,1,0.81,443
59010,17-3013,28.37,1235,56170,,0.68,378
68970,17-3021,33.16,1235,10110,,0.48,290
54670,17-3022,26.29,1235,71150,1,0.75,413
65050,17-3023,31.27,1235,126950,,0.84,474
60240,17-3024,28.96,1235,13520,,0.81,444
54800,17-3025,26.34,1235,17310,,0.25,225
58860,17-3026,28.3,1235,66540,,0.03,108
58240,17-3027,28,1235,41460,,0.38,263
65720,17-3029,31.6,1235,83360,,0.24,221
67690,19-1011,32.54,1235,2530,,0.061,147
72570,19-1012,34.89,1235,13330,,0.077,158
70630,19-1013,33.96,1235,15010,,0.021,86
105940,19-1021,50.93,1235,28500,,0.027,99
81150,19-1022,39.02,1235,20030,,0.012,56
67760,19-1023,32.58,1235,17860,0,0.3,240
83600,19-1029,40.19,1235,42640,,0.015,66
65320,19-1031,31.4,1235,22200,,0.016,75
63150,19-1032,30.36,1235,8410,,0.0081,43
75690,19-1041,36.39,1235,7060,,0.2,206
96420,19-1042,46.36,1235,120320,,0.0045,21
111090,19-2011,53.41,1235,2160,,0.041,128
125280,19-2012,60.23,1235,17620,0,0.1,175
83850,19-2031,40.31,1235,84560,,0.1,173
102450,19-2032,49.25,1235,7730,,0.021,87
77580,19-2041,37.3,1235,80480,,0.033,113
107800,19-2042,51.83,1235,29260,,0.63,346
82790,19-2043,39.81,1235,6290,,0.014,60
110090,19-2099,52.93,1235,17380,,0.43,281
85340,19-3031,41.03,1235,110490,,0.0047,24
109030,19-3032,52.42,1235,780,,0.012,57
95610,19-3039,45.97,1235,13480,,0.0043,17
65310,19-3091,31.4,1235,6020,,0.0077,39
80530,19-3092,38.72,1235,1390,,0.25,222
66380,19-3093,31.91,1235,3040,,0.44,283
115300,19-3094,55.43,1235,5660,,0.039,125
85750,19-3099,41.22,1235,35530,,0.04,127
50350,19-4091,24.21,1235,32600,,0.77,419
62490,19-4092,30.05,1235,15970,,0.0095,49
40110,19-4093,19.28,1235,30220,,0.42,278
52940,19-4099,25.45,1235,65220,,0.61,340
60160,21-1012,28.93,1235,285460,,0.0085,44
54150,21-1013,26.03,1235,48520,0,0.014,62
39930,21-1015,19.2,1235,106860,,0.0094,47
49760,21-1021,23.92,1235,320170,,0.028,102
58470,21-1022,28.11,1235,168190,,0.0035,8
49630,21-1023,23.86,1235,116750,,0.0031,4
59660,21-1091,28.68,1235,58780,,0.045,134
58790,21-1092,28.27,1235,87660,,0.25,224
35830,21-1093,17.22,1235,392300,,0.13,185
144230,23-1011,69.34,1235,642750,0,0.035,115
59540,23-1012,28.63,1235,16350,1,0.41,276
101210,23-1021,48.66,1235,14280,,0.64,353
72760,23-1022,34.98,1235,6240,,0.06,146
121130,23-1023,58.23,1235,28520,0,0.4,271
62390,23-2091,30,1235,14490,,0.5,301
51380,23-2093,24.7,1235,52180,,0.99,701
85190,25-1000,,1235,1517100,,0.032,112
34410,25-2011,16.54,1235,424520,0,0.0074,37
58370,25-2012,,1235,131160,,0.15,191
62200,25-2021,,1235,1410970,,0.0044,20
62030,25-2022,,1235,609970,,0.17,200
62570,25-2023,,1235,11940,,0.26,229
64340,25-2031,,1235,1051570,,0.0078,41
62810,25-2032,,1235,77460,,0.0088,45
64390,25-2053,,1235,87870,,0.016,76
65320,25-2054,,1235,142360,,0.0077,40
56400,25-4011,27.12,1235,6370,,0.76,415
58490,25-4012,28.12,1235,12280,,0.0068,34
46870,25-4013,22.53,1235,13100,,0.59,326
104590,27-1011,50.29,1235,40210,,0.023,95
40490,27-1012,19.47,1235,3980,,0.035,116
58370,27-1013,28.06,1235,11620,,0.042,131
78230,27-1014,37.61,1235,28560,,0.015,68
71430,27-1021,34.34,1235,33200,,0.037,119
87610,27-1022,42.12,1235,19750,0,0.021,89
28900,27-1023,13.9,1235,43360,,0.047,136
54680,27-1024,26.29,1235,217810,,0.082,161
59120,27-1025,28.42,1235,57070,,0.022,93
31850,27-1026,15.31,1235,128960,,0.48,291
61020,27-1027,29.34,1235,10590,,0.0055,27
,27-2011,29.34,1235,47430,,0.37,259
89840,27-2012,43.19,1235,118630,,0.022,92
87030,27-2021,,1235,10800,0,0.28,234
43870,27-2022,,1235,236970,,0.013,58
36440,27-2023,,1235,19090,,0.98,684
,27-2031,20.7,1235,9720,,0.13,179
53560,27-2032,25.75,1235,5090,,0.004,13
59790,27-2041,28.75,1235,12160,,0.015,72
,27-2042,37.51,1235,41680,,0.074,155
51630,27-3011,24.82,1235,27780,,0.1,171
39040,27-3012,18.77,1235,7480,,0.72,399
91990,27-3021,44.23,1235,5890,,0.067,151
55530,27-3022,26.7,1235,37140,,0.11,177
69480,27-3041,33.41,1235,95750,,0.055,140
75500,27-3042,36.3,1235,50350,1,0.89,526
73090,27-3043,35.14,1235,45210,,0.038,123
55230,27-3091,26.55,1235,57140,,0.38,265
48940,27-4011,23.53,1235,75940,,0.55,316
46770,27-4012,22.48,1235,31580,,0.74,407
44710,27-4013,21.49,1235,870,,0.98,673
63500,27-4014,30.53,1235,13510,,0.13,187
61750,27-4031,29.69,1235,21080,,0.6,332
86830,27-4032,41.75,1235,28160,,0.31,244
175840,29-1021,84.54,1235,113000,0,0.0044,19
242370,29-1022,116.52,1235,4830,,0.0036,9
225760,29-1023,108.54,1235,5350,,0.023,94
191400,29-1024,92.02,1235,380,,0.055,141
210980,29-1060,101.43,1235,679280,0,0.0042,15
85350,29-1122,41.04,1235,126900,,0.0035,6
88880,29-1123,42.73,1235,228600,,0.021,90
86730,29-1124,41.7,1235,18260,,0.34,248
50640,29-1125,24.34,1235,18840,,0.0028,1
62500,29-1126,30.05,1235,129600,,0.066,150
80700,29-1127,38.8,1235,146900,,0.0064,31
